Id,latitude,longitude,Street Address,Suburb,Post Code
733,-33.74730865,151.2868545,"24 LISMORE AVENUE, DEE WHY NSW 2099",DEE WHY,2099
734,-33.78711604,151.2567103,"42 ABINGDON STREET, NORTH BALGOWLAH NSW 2093",NORTH BALGOWLAH,2093
735,-33.79853227,151.287077,"11-15 WENTWORTH STREET, MANLY NSW 2095",MANLY,2095
736,-33.63128936,151.3258366,"18 SANCTUARY AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
737,-33.72983649,151.3010109,"1096 PITTWATER ROAD, COLLAROY NSW 2097",COLLAROY,2097
738,-33.664833,151.3160656,"3B THE AVENUE, NEWPORT NSW 2106",NEWPORT,2106
739,-33.65276065,151.3207885,"46 FOAMCREST AVENUE, NEWPORT NSW 2106",NEWPORT,2106
740,-33.63933921,151.3217014,"2 THE PINNACLE, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
741,-33.79336075,151.2840834,"29 KANGAROO STREET, MANLY NSW 2095",MANLY,2095
742,-33.78744306,151.2696761,"2 PATON PLACE, BALGOWLAH NSW 2093",BALGOWLAH,2093
743,-33.7636485,151.2888752,"25 PLAYFAIR ROAD, NORTH CURL CURL NSW 2099",NORTH CURL CURL,2099
744,-33.78360464,151.2717438,"40 INNES ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
745,-33.58935142,151.2985035,"104 DIGGERS CRESCENT, GREAT MACKEREL BEACH NSW 2108",GREAT MACKEREL BEACH,2108
746,-33.75399795,151.2578268,"54 EARL STREET, BEACON HILL NSW 2100",BEACON HILL,2100
747,-33.80503391,151.2899853,"49 OSBORNE ROAD, MANLY NSW 2095",MANLY,2095
748,-33.79558318,151.2870201,"56 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
749,-33.79543244,151.2841882,"52 RAGLAN STREET, MANLY NSW 2095",MANLY,2095
750,-33.79625674,151.285807,"26 WHISTLER STREET, MANLY NSW 2095",MANLY,2095
751,-33.78679026,151.2865704,"40 COLLINGWOOD STREET, MANLY NSW 2095",MANLY,2095
752,-33.80073648,151.2899267,"21B CLIFF STREET, MANLY NSW 2095",MANLY,2095
753,-33.8069022,151.284832,"4 BRUCE AVENUE, MANLY NSW 2095",MANLY,2095
754,-33.67472258,151.3140199,"5 BASSETT STREET, MONA VALE NSW 2103",MONA VALE,2103
755,-33.77792083,151.2826372,"6 WILSON STREET, FRESHWATER NSW 2096",FRESHWATER,2096
756,-33.63720404,151.282553,"1 STURDEE LANE, ELVINA BAY NSW 2105",ELVINA BAY,2105
757,-33.80001395,151.2918542,"122-124 BOWER STREET, MANLY NSW 2095",MANLY,2095
758,-33.77468971,151.2847166,"95 WYNDORA AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
759,-33.73524738,151.2741734,"10A GROVER AVENUE, CROMER NSW 2099",CROMER,2099
760,-33.6169529,151.3275447,"4 CURRAWONG AVENUE, PALM BEACH NSW 2108",PALM BEACH,2108
761,-33.64912714,151.3143965,"20 YORK TERRACE, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
762,-33.78973932,151.2854084,"11 MALVERN AVENUE, MANLY NSW 2095",MANLY,2095
763,-33.79399642,151.2850282,"51 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
764,-33.78464785,151.2884223,"13 GREYCLIFFE STREET, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
765,-33.77597085,151.2563542,"7 BINALONG AVENUE, ALLAMBIE HEIGHTS NSW 2100",ALLAMBIE HEIGHTS,2100
766,-33.7991025,151.2916967,"132-134 BOWER STREET, MANLY NSW 2095",MANLY,2095
767,-33.6027592,151.3018512,"2 COASTERS RETREAT, COASTERS RETREAT NSW 2108",COASTERS RETREAT,2108
768,-33.80256321,151.2905909,"42 FAIRY BOWER ROAD, MANLY NSW 2095",MANLY,2095
769,-33.72861811,151.2871437,"46 FULLER STREET, COLLAROY PLATEAU NSW 2097",COLLAROY PLATEAU,2097
770,-33.79945292,151.2795666,"1-3 COMMONWEALTH PARADE, MANLY NSW 2095",MANLY,2095
771,-33.80105609,151.2632644,"109 CONDAMINE STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
772,-33.79425931,151.2843341,"38 DENISON STREET, MANLY NSW 2095",MANLY,2095
773,-33.68146712,151.3035157,"1594A PITTWATER ROAD, MONA VALE NSW 2103",MONA VALE,2103
774,-33.70411834,151.2922646,"52 NAREEN PARADE, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
775,-33.7873441,151.2867012,"1 BONNER AVENUE, MANLY NSW 2095",MANLY,2095
776,-33.67726737,151.2953937,"5 BARBARA COURT, MONA VALE NSW 2103",MONA VALE,2103
777,-33.75568855,151.2839232,"1-3 DELMAR PARADE, DEE WHY NSW 2099",DEE WHY,2099
778,-33.72888196,151.2647898,"57 CROMER ROAD, CROMER NSW 2099",CROMER,2099
779,-33.78848484,151.2847393,"196 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
780,-33.78793185,151.2831004,"25 GOLF PARADE, MANLY NSW 2095",MANLY,2095
781,-33.67950221,151.2979088,"44 VINEYARD STREET, MONA VALE NSW 2103",MONA VALE,2103
782,-33.75886631,151.201923,"55 ARTHUR STREET, FORESTVILLE NSW 2087",FORESTVILLE,2087
783,-33.63089351,151.3369831,"7 HARLEY ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
784,-33.79605909,151.2856582,"19A WHISTLER STREET, MANLY NSW 2095",MANLY,2095
785,-33.78744801,151.288668,"22 BONNER AVENUE, MANLY NSW 2095",MANLY,2095
786,-33.80001203,151.2604657,"12B WEST STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
787,-33.79336202,151.2608747,"72 WEST STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
788,-33.76779745,151.2894272,"12 STEWART AVENUE, CURL CURL NSW 2096",CURL CURL,2096
789,-33.7957768,151.2884602,"54 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
790,-33.6277724,151.3203917,"16 CAPUA PLACE, AVALON BEACH NSW 2107",AVALON BEACH,2107
791,-33.78922251,151.2834593,"53 SMITH STREET, MANLY NSW 2095",MANLY,2095
792,-33.62923655,151.3261411,"58 PARK AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
793,-33.79625962,151.2882885,"46 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
794,-33.70619982,151.2878422,"127 RICKARD ROAD, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
795,-33.79871762,151.2826189,"WEST ESPLANADE, MANLY NSW 2095",MANLY,2095
796,-33.68033897,151.3109536,"56 GOLF AVENUE, MONA VALE NSW 2103",MONA VALE,2103
797,-33.7923382,151.2880373,"86 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
798,-33.79994482,151.2735834,"13 FAIRLIGHT CRESCENT, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
799,-33.75194768,151.28409,"13-15 FRANCIS STREET, DEE WHY NSW 2099",DEE WHY,2099
800,-33.80274857,151.2887002,"77 ADDISON ROAD, MANLY NSW 2095",MANLY,2095
801,-33.62729558,151.3279188,"23 QUEENS AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
802,-33.78722404,151.2924612,"4 QUEENSCLIFF ROAD, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
803,-33.78457963,151.2708128,"22 QUIRK ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
804,-33.69945403,151.2778522,"9 THE FAIRWAY, ELANORA HEIGHTS NSW 2101",ELANORA HEIGHTS,2101
805,-33.79737101,151.2762868,"25 FAIRLIGHT STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
806,-33.69040161,151.3036751,"22A LAKEVIEW PARADE, WARRIEWOOD NSW 2102",WARRIEWOOD,2102
807,-33.77418902,151.2807725,"141 WYNDORA AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
808,-33.75495804,151.2967639,"135 OAKS AVENUE, DEE WHY NSW 2099",DEE WHY,2099
809,-33.79118761,151.2846072,"38 SMITH STREET, MANLY NSW 2095",MANLY,2095
810,-33.62151758,151.338687,"77 WHALE BEACH ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
811,-33.80276518,151.2902775,"44 FAIRY BOWER ROAD, MANLY NSW 2095",MANLY,2095
812,-33.77886087,151.292727,"76 EVANS STREET, FRESHWATER NSW 2096",FRESHWATER,2096
813,-33.58934331,151.2991962,"24 DIGGERS CRESCENT, GREAT MACKEREL BEACH NSW 2108",GREAT MACKEREL BEACH,2108
814,-33.79756483,151.2864128,"45 THE CORSO, MANLY NSW 2095",MANLY,2095
815,-33.67823355,151.295637,"66 MONA VALE ROAD, MONA VALE NSW 2103",MONA VALE,2103
816,-33.6282049,151.3264931,"80A KEVIN AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
817,-33.78541204,151.2661267,"11 HIGHVIEW AVENUE, MANLY VALE NSW 2093",MANLY VALE,2093
818,-33.80035342,151.2863344,"29 EAST ESPLANADE, MANLY NSW 2095",MANLY,2095
819,-33.79420968,151.284358,"38 DENISON STREET, MANLY NSW 2095",MANLY,2095
820,-33.79551831,151.2878633,"56 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
821,-33.790628,151.2869389,"96-97 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
822,-33.75832172,151.2944482,"52 CASSIA STREET, DEE WHY NSW 2099",DEE WHY,2099
823,-33.6600425,151.3150488,"53 QUEENS PARADE, NEWPORT NSW 2106",NEWPORT,2106
824,-33.80090477,151.2874,"13A ASHBURNER STREET, MANLY NSW 2095",MANLY,2095
825,-33.79522442,151.2708804,"245 SYDNEY ROAD, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
826,-33.79695746,151.2797776,"13 GEORGE STREET, MANLY NSW 2095",MANLY,2095
827,-33.79019286,151.2773486,"35 BALGOWLAH ROAD, MANLY NSW 2095",MANLY,2095
828,-33.7942764,151.2829833,"12 OCEAN ROAD, MANLY NSW 2095",MANLY,2095
829,-33.79157603,151.260795,"109 WEST STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
830,-33.79794084,151.2755305,"7 WOODS PARADE, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
